order_id,return_id
1,1-101
3,3-102
5,5-103
6,6-104
7,7-105
10,10-106
13,13-107
16,16-108
17,17-109
18,18-110
19,19-111
23,23-112
24,24-113
26,26-114
29,29-115
33,33-116
35,35-117
36,36-118
37,37-119
39,39-120
40,40-121
42,42-122
46,46-123
51,51-124
54,54-125
55,55-126
56,56-127
57,57-128
65,65-129
66,66-130
67,67-131
68,68-132
70,70-133
71,71-134
72,72-135
76,76-136
78,78-137
81,81-138
84,84-139
89,89-140
90,90-141
91,91-142
93,93-143
95,95-144
97,97-145
98,98-146
99,99-147
101,101-148
102,102-149
103,103-150
105,105-151
106,106-152
109,109-153
110,110-154
112,112-155
115,115-156
117,117-157
118,118-158
119,119-159
121,121-160
122,122-161
124,124-162
125,125-163
126,126-164
130,130-165
133,133-166
139,139-167
161,161-168
162,162-169
165,165-170
172,172-171
174,174-172
178,178-173
180,180-174
186,186-175
188,188-176
190,190-177
192,192-178
194,194-179
195,195-180
196,196-181
199,199-182
202,202-183
203,203-184
205,205-185
206,206-186
207,207-187
208,208-188
212,212-189
213,213-190
215,215-191
216,216-192
217,217-193
222,222-194
224,224-195
229,229-196
239,239-197
240,240-198
242,242-199
243,243-200
244,244-201
246,246-202
247,247-203
250,250-204
255,255-205
258,258-206
263,263-207
266,266-208
268,268-209
269,269-210
271,271-211
272,272-212
275,275-213
280,280-214
290,290-215
292,292-216
293,293-217
295,295-218
296,296-219
297,297-220
299,299-221
302,302-222
304,304-223
306,306-224
308,308-225
309,309-226
315,315-227
316,316-228
317,317-229
318,318-230
320,320-231
324,324-232
325,325-233
328,328-234
329,329-235
331,331-236
334,334-237
335,335-238
336,336-239
339,339-240
340,340-241
341,341-242
343,343-243
344,344-244
346,346-245
347,347-246
350,350-247
353,353-248
355,355-249
359,359-250
363,363-251
369,369-252
370,370-253
374,374-254
377,377-255
380,380-256
381,381-257
389,389-258
394,394-259
396,396-260
397,397-261
400,400-262
403,403-263
407,407-264
408,408-265
409,409-266
410,410-267
411,411-268
413,413-269
416,416-270
420,420-271
421,421-272
422,422-273
426,426-274
427,427-275
429,429-276
439,439-277
441,441-278
442,442-279
443,443-280
445,445-281
446,446-282
449,449-283
450,450-284
452,452-285
455,455-286
457,457-287
458,458-288
459,459-289
460,460-290
465,465-291
467,467-292
473,473-293
475,475-294
476,476-295
477,477-296
478,478-297
479,479-298
486,486-299
487,487-300
492,492-301
499,499-302
500,500-303
502,502-304
503,503-305
506,506-306
510,510-307
511,511-308
512,512-309
513,513-310
520,520-311
523,523-312
525,525-313
527,527-314
529,529-315
531,531-316
532,532-317
533,533-318
534,534-319
535,535-320
537,537-321
538,538-322
540,540-323
542,542-324
544,544-325
551,551-326
553,553-327
555,555-328
556,556-329
557,557-330
561,561-331
563,563-332
564,564-333
565,565-334
566,566-335
570,570-336
572,572-337
577,577-338
578,578-339
579,579-340
582,582-341
588,588-342
589,589-343
590,590-344
593,593-345
594,594-346
599,599-347
600,600-348
604,604-349
607,607-350
609,609-351
610,610-352
612,612-353
613,613-354
614,614-355
615,615-356
616,616-357
617,617-358
620,620-359
626,626-360
630,630-361
643,643-362
647,647-363
648,648-364
653,653-365
656,656-366
657,657-367
664,664-368
668,668-369
672,672-370
673,673-371
675,675-372
677,677-373
678,678-374
682,682-375
684,684-376
685,685-377
688,688-378
689,689-379
690,690-380
691,691-381
692,692-382
695,695-383
696,696-384
701,701-385
702,702-386
706,706-387
708,708-388
714,714-389
718,718-390
719,719-391
726,726-392
727,727-393
728,728-394
730,730-395
736,736-396
737,737-397